N_Elements,N_Bytes,Ticks_Direct,Ticks_Reverse,Ticks_Random
256,1024,11.5654,11.4992,11.5158
512,2048,11.532,11.5133,11.4528
1024,4096,11.535,11.4774,11.4479
2048,8192,11.5303,11.4634,11.5141
4096,16384,11.5446,11.5195,11.5889
8192,32768,11.3237,11.3691,11.2405
16384,65536,11.5659,11.9906,14.4467
32768,131072,11.5599,11.5583,18.0816
65536,262144,11.5868,11.7798,20.4116
131072,524288,11.7168,11.7702,23.3769
262144,1048576,11.713,11.6907,30.2529
524288,2097152,11.5491,11.4312,53.7774
1048576,4194304,11.69,11.8654,66.9686
2097152,8388608,11.5283,11.6544,93.9511
4194304,16777216,11.4289,11.6606,225.213
8388608,33554432,11.4653,11.6251,327.324
16777216,67108864,12.1239,11.6116,393.932
33554432,134217728,11.536,11.7773,427.281
67108864,268435456,11.5845,11.6014,457.747
